Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Old-H4K20me1-1_R1_001	26.66765483119623	49.0	150.0	18.181818181818183	1253863.0
Old-H4K20me1-1_R2_001	23.140601686224826	49.0	150.0	18.181818181818183	1253863.0
Old-H4K20me1-2_R1_001	14.166243979927643	47.0	150.0	9.090909090909092	292432.0
Old-H4K20me1-2_R2_001	10.027961493103675	47.0	150.0	9.090909090909092	292432.0
Old-H4K20me1-3_R1_001	27.49157070805684	47.0	150.0	9.090909090909092	907285.0
Old-H4K20me1-3_R2_001	18.72609884962428	47.0	150.0	9.090909090909092	907285.0
Young-H4K20me1-1_R1_001	31.001203688245596	48.0	150.0	9.090909090909092	1410607.0
Young-H4K20me1-1_R2_001	23.02294974977427	48.0	150.0	9.090909090909092	1410607.0
Young-H4K20me1-2_R1_001	32.39051626632286	47.0	150.0	9.090909090909092	1052228.0
Young-H4K20me1-2_R2_001	20.94830153988029	48.0	150.0	9.090909090909092	1052228.0
Young-H4K20me1-3_R1_001	34.6885967734559	47.0	150.0	9.090909090909092	1171806.0
Young-H4K20me1-3_R2_001	23.846557858202885	48.0	150.0	9.090909090909092	1171806.0
