Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Old-H4K20me1-1-trimmed_1	26.540077972313014	49.0	142.86579977379668	9.090909090909092	1213068.0
Old-H4K20me1-1-trimmed_2	22.944238293209892	49.0	142.8858695472966	9.090909090909092	1213068.0
Old-H4K20me1-2-trimmed_1	14.173010848253298	47.0	147.6409310612414	9.090909090909092	287371.0
Old-H4K20me1-2-trimmed_2	9.98917193282179	47.0	147.57371481464727	9.090909090909092	287371.0
Old-H4K20me1-3-trimmed_1	27.469448608436878	46.0	147.03739677479524	9.090909090909092	884595.0
Old-H4K20me1-3-trimmed_2	18.53901188424912	47.0	146.98112695640378	9.090909090909092	884595.0
Young-H4K20me1-1-trimmed_1	30.969191954101817	48.0	147.6296637640628	9.090909090909092	1384504.0
Young-H4K20me1-1-trimmed_2	22.972305811438204	48.0	147.58406620710377	9.090909090909092	1384504.0
Young-H4K20me1-2-trimmed_1	32.46158351729893	47.0	148.5761333084786	9.090909090909092	1040714.0
Young-H4K20me1-2-trimmed_2	20.93460051457147	48.0	148.5430867654322	9.090909090909092	1040714.0
Young-H4K20me1-3-trimmed_1	34.69661455785064	47.0	147.6317555975511	9.090909090909092	1148270.0
Young-H4K20me1-3-trimmed_2	23.730255556831253	48.0	147.58662335513424	9.090909090909092	1148270.0
